,Year,YearCE,Month,Day,Lat,VSSI,Sigma VSSI,Duration,Hemi
0,1892.0,1892.0,1.0,1.0,5.0,4.44,1.01,0.0,1.28
1,1886.0,1886.0,1.0,1.0,-38.0,1.04,0.23,0.0,-1.0
2,1884.0,1884.0,1.0,1.0,-6.0,9.09,2.3,0.0,1.92
3,1876.0,1876.0,1.0,1.0,-37.0,0.28,0.06,0.0,-1.0
4,1863.0,1863.0,1.0,1.0,0.0,5.74,1.61,0.0,2.99
5,1861.0,1861.0,1.0,1.0,-37.0,0.24,0.05,0.0,-1.0
6,1855.0,1855.0,1.0,1.0,42.0,2.26,0.83,0.0,-1.0
7,1844.0,1844.0,1.0,1.0,48.0,1.45,0.53,0.0,-1.0
8,1835.0,1835.0,1.0,1.0,13.0,5.6,1.29,0.0,1.34
9,1831.0,1831.0,1.0,1.0,20.0,17.75,5.92,0.0,9.86
10,1822.0,1822.0,1.0,1.0,5.0,1.22,0.27,0.0,-1.0
11,1815.0,1815.0,1.0,1.0,-8.0,36.95,7.41,0.0,0.74
12,1809.0,1809.0,1.0,1.0,5.0,17.05,3.84,0.0,1.24
13,1795.0,1795.0,1.0,1.0,48.0,1.06,0.39,0.0,-1.0
14,1783.0,1783.0,1.0,1.0,64.0,11.07,4.06,0.0,-1.0
15,1767.0,1767.0,1.0,1.0,64.0,2.63,0.96,0.0,-1.0
16,1762.0,1762.0,1.0,1.0,5.0,5.45,1.37,0.0,1.87
17,1754.0,1754.0,1.0,1.0,64.0,1.74,0.64,0.0,-1.0
18,1739.0,1739.0,1.0,1.0,43.0,3.81,1.4,0.0,-1.0
19,1729.0,1729.0,1.0,1.0,48.0,4.27,1.56,0.0,-1.0
20,1719.0,1719.0,1.0,1.0,64.0,1.02,0.37,0.0,-1.0
21,1702.0,1702.0,1.0,1.0,48.0,1.15,0.42,0.0,-1.0
22,1694.0,1694.0,1.0,1.0,5.0,18.07,4.08,0.0,1.25
23,1673.0,1673.0,1.0,1.0,2.0,5.78,1.36,0.0,1.47
24,1666.0,1666.0,1.0,1.0,43.0,4.03,1.48,0.0,-1.0
25,1661.0,1661.0,1.0,1.0,5.0,4.62,1.27,0.0,2.78
26,1646.0,1646.0,1.0,1.0,48.0,1.68,0.61,0.0,-1.0
27,1641.0,1641.0,1.0,1.0,6.0,22.05,6.96,0.0,5.96
